sequence,symbol,project_security_type,exchange_code,exchange_name,exchange_groups,source_membership,app_watchlists,exchange_watchlists,name,currency,canonical_metadata_source,symbol_syntax,review_status,review_notes
1527,VUSA.L,ETF,LSE,LSE,Global,EXCHANGE_ONLY,,Global,Vanguard S&P 500 UCITS ETF,GBP,ALL_EXCHANGES,VALID,OK,
1528,ISF.L,ETF,LSE,LSE,Global,EXCHANGE_ONLY,,Global,iShares Core FTSE 100 UCITS ETF GBP (Dist),GBX,ALL_EXCHANGES,VALID,OK,
1529,NESN.SW,Stock,Swiss,Swiss,Exchs,EXCHANGE_ONLY,,Exchs,Nestlé S.A.,CHF,ALL_EXCHANGES,VALID,OK,
1530,NPN.JO,Stock,Johannesburg,Johannesburg,Global,EXCHANGE_ONLY,,Global,Naspers Limited,ZAX,ALL_EXCHANGES,VALID,OK,
1531,1120.SR,Stock,Saudi,Saudi,Global,EXCHANGE_ONLY,,Global,Al Rajhi Banking and Investment Corporation,SAR,ALL_EXCHANGES,VALID,OK,
1532,BANKBEES.NS,Stock,NSE,NSE,Global,EXCHANGE_ONLY,,Global,Nippon India ETF Nifty Bank BeES,INR,ALL_EXCHANGES,VALID,OK,
1533,NIFTYBEES.NS,Stock,NSE,NSE,Global,EXCHANGE_ONLY,,Global,Nippon India ETF Nifty 50 BeES,INR,ALL_EXCHANGES,VALID,OK,
1534,RELIANCE.NS,Stock,NSE,NSE,Exchs,EXCHANGE_ONLY,,Exchs,Reliance Industries Limited,INR,ALL_EXCHANGES,VALID,OK,
1535,000333.SZ,Stock,Shenzhen,Shenzhen,Global,EXCHANGE_ONLY,,Global,"Midea Group Co., Ltd.",CNY,ALL_EXCHANGES,VALID,OK,
1536,000858.SZ,Stock,Shenzhen,Shenzhen,Global,EXCHANGE_ONLY,,Global,"Wuliangye Yibin Co.,Ltd.",CNY,ALL_EXCHANGES,VALID,OK,
1537,601318.SS,Stock,Shanghai,Shanghai,Global,EXCHANGE_ONLY,,Global,"Ping An Insurance (Group) Company of China, Ltd.",CNY,ALL_EXCHANGES,VALID,OK,
