round_index,round_id,scheduled_date,scheduled_local_time,scheduled_at_utc,round_started_at_utc,round_completed_at_utc,schedule_offset_seconds,schedule_override,round_folder,sequence,sample_id,variant_id,label,variation_group,changed_parameter,range,interval,period1,period2,include_prepost,events,http_status,parse_status,result_classification,expected_top_level_found,chart_error_present,chart_error_code,chart_result_count,timestamp_count,first_timestamp,last_timestamp,timestamp_sequence_sha256,quote_bar_count,adjclose_count,null_indicator_value_count,meta_field_count,meta_keys_sha256,indicator_field_count,indicator_keys_sha256,event_type_count,event_count,event_identity_sha256,trading_period_group_count,trading_period_count,returned_range,returned_data_granularity,returned_exchange_name,returned_instrument_type,returned_currency,returned_timezone,response_bytes,elapsed_ms,attempt_count,auth_refresh_performed,raw_response_sha256,canonical_json_sha256,request_parameters_sha256,raw_response_file,metadata_file
2,day-02,2026-08-03,15:45:00,2026-08-03T19:45:00.000Z,2026-08-03T19:47:12.136Z,2026-08-03T19:47:14.253Z,132.137,same-day-late,rounds/day-02_2026-08-03,2,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-02_2026-08-03_000002_chart_events-omitted,events-omitted,Omit events parameter,events,events omitted,5d,1d,,,false,,200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,5,1785245400,1785763800,3e282b36fbdc69114ef32aabec975eca1d26a3a69f9c219d0aa97afa443ff112,5,5,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1d,NMS,EQUITY,USD,America/New_York,1616,150,1,False,3dd82ae2a21dcd0ee70d093f38c2e82c21897fa370704359fa766091691bc9e9,27095deebbc5821597929f4d35800d757afca4893cc14d6a36e3e0b1abbf922b,a9d2f19d8a23fce21ffc73b826f5448260809374d48286a5135417e3e399cf51,raw/chart/events-omitted.raw.json,metadata/chart/events-omitted.meta.json
2,day-02,2026-08-03,15:45:00,2026-08-03T19:45:00.000Z,2026-08-03T19:47:12.136Z,2026-08-03T19:47:14.253Z,132.137,same-day-late,rounds/day-02_2026-08-03,3,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-02_2026-08-03_000003_chart_events-div-only,events-div-only,Request dividend events only,events,events,5d,1d,,,false,div,200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,5,1785245400,1785763800,3e282b36fbdc69114ef32aabec975eca1d26a3a69f9c219d0aa97afa443ff112,5,5,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1d,NMS,EQUITY,USD,America/New_York,1617,174,1,False,f781b40d6a77f7a64667adf41118f9f4d6f20d73560b95ba3638ce735ae1eaa3,405627079592bb6fdcf5ab7bf3b92aba9d71eb983c951833ebb5b6fd2ad310a3,cac1ae9ee6b35ff3b631fac256965d502ff3fd6101d5b4715dae421041bc7433,raw/chart/events-div-only.raw.json,metadata/chart/events-div-only.meta.json
2,day-02,2026-08-03,15:45:00,2026-08-03T19:45:00.000Z,2026-08-03T19:47:12.136Z,2026-08-03T19:47:14.253Z,132.137,same-day-late,rounds/day-02_2026-08-03,4,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-02_2026-08-03_000004_chart_range-1mo-1d,range-1mo-1d,Extend range to one month,range,range,1mo,1d,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,21,1783344600,1785763800,f29e6ec3a8ffecf3d8d6678539bdcb85039220150e822b7c00f3d16be232fbee,21,21,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,1mo,1d,NMS,EQUITY,USD,America/New_York,3320,172,1,False,6f23a685bc742813aabb67ff23874297d61f8919de447a1959939490e964aa17,8a6e9a75bcff8fcfabcd4d0fa48df62da4002bbb46d664afb96160e9281ec5b4,7b6f8b44e15f995a7d0fec1ed6a5fd3cc613bdf56654afc8a5d3fb33008603e2,raw/chart/range-1mo-1d.raw.json,metadata/chart/range-1mo-1d.meta.json
2,day-02,2026-08-03,15:45:00,2026-08-03T19:45:00.000Z,2026-08-03T19:47:12.136Z,2026-08-03T19:47:14.253Z,132.137,same-day-late,rounds/day-02_2026-08-03,5,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-02_2026-08-03_000005_chart_interval-1h-5d,interval-1h-5d,Change interval to one hour,interval,interval,5d,1h,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,36,1785245400,1785786432,b6d642152998758f67bd68fe974822f95da3ac470b5c68ed85a485312403b819,36,0,0,28,569cb36e2f871a68d459812deb9b9439d3967f7a47da93bf92a3039e70b41a68,5,8d9fd19295a0ca5f624c3f18f71120142bafb6e3508f90641049f5239f4ac40b,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1h,NMS,EQUITY,USD,America/New_York,4695,150,1,False,383aec36cc678df36f2881cb82c9977f15190c91bbfc4a0a78b5086893370d7c,f761a9e37deec2844fe8a98ec3fdd279469f102c731b3bac527ebc65a1497385,1f50e38da6ac3e6a982feb92ed52d311aa4db87cf79c23074b4845680c3015f2,raw/chart/interval-1h-5d.raw.json,metadata/chart/interval-1h-5d.meta.json
2,day-02,2026-08-03,15:45:00,2026-08-03T19:45:00.000Z,2026-08-03T19:47:12.136Z,2026-08-03T19:47:14.253Z,132.137,same-day-late,rounds/day-02_2026-08-03,6,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-02_2026-08-03_000006_chart_interval-5m-5d,interval-5m-5d,Change interval to five minutes,interval,interval,5d,5m,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,389,1785245400,1785786431,7101577e6f7b70c8ba7d1ae5ed3e0ca0d6963d393ae9218851bcedf2b85e5b07,389,0,0,28,569cb36e2f871a68d459812deb9b9439d3967f7a47da93bf92a3039e70b41a68,5,8d9fd19295a0ca5f624c3f18f71120142bafb6e3508f90641049f5239f4ac40b,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,5m,NMS,EQUITY,USD,America/New_York,36127,161,1,False,ec5ffc9f05d2b39cdc171d217af0610bb515ee89d73980e1eecebd8b8eb5c4d8,06182e0760749f2461cb961ee2c6fe00c398723511b4daff4cbc3d6ca6f60568,7a65da50d09ac909ffc2468c5909ddd48f6d409bed0f3256b984e29d8f3abda6,raw/chart/interval-5m-5d.raw.json,metadata/chart/interval-5m-5d.meta.json
2,day-02,2026-08-03,15:45:00,2026-08-03T19:45:00.000Z,2026-08-03T19:47:12.136Z,2026-08-03T19:47:14.253Z,132.137,same-day-late,rounds/day-02_2026-08-03,7,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-02_2026-08-03_000007_chart_include-prepost-true-5m,include-prepost-true-5m,Include pre/post bars at five-minute interval,includePrePost,includePrePost,5d,5m,,,true,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,911,1785225600,1785786433,1b63367af217d5669424b4d7c6ddb4b86137b98df1d3ecb864bc8100b59dbb51,911,0,0,28,569cb36e2f871a68d459812deb9b9439d3967f7a47da93bf92a3039e70b41a68,5,8d9fd19295a0ca5f624c3f18f71120142bafb6e3508f90641049f5239f4ac40b,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,5m,NMS,EQUITY,USD,America/New_York,58986,257,1,False,0eaf04890ab161ed3b4dde266514cc8e150e560825ea2a154c4be23086339958,cbb86d17c137bc8559ecbeeae9961f1d52152fcf39a83cf9f49686ed3697086d,82996882f8caa4c8ce884d2704ecea2b8fd7799d78935930a62e46fdf4cd0832,raw/chart/include-prepost-true-5m.raw.json,metadata/chart/include-prepost-true-5m.meta.json
2,day-02,2026-08-03,15:45:00,2026-08-03T19:45:00.000Z,2026-08-03T19:47:12.136Z,2026-08-03T19:47:14.253Z,132.137,same-day-late,rounds/day-02_2026-08-03,8,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-02_2026-08-03_000008_chart_interval-1m-5d,interval-1m-5d,Change interval to one minute,interval,interval,5d,1m,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,1939,1785245400,1785786433,a449c1edea73cfb5a74514dbbf334e5c5c8c7f69bae1e399ce26b318464cc8ce,1939,0,5,28,569cb36e2f871a68d459812deb9b9439d3967f7a47da93bf92a3039e70b41a68,5,8d9fd19295a0ca5f624c3f18f71120142bafb6e3508f90641049f5239f4ac40b,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1m,NMS,EQUITY,USD,America/New_York,172719,227,1,False,0767499530eabcfd2f89c1508898bc3659690e2e77ac2558ea6eb7174d38b267,f2dee4eb51fc29d66aa6b0dc859c521b0c4014ddb2ae750cc70b7d229cb9b764,dde4dcb17d7e2834ae2ce966db9ccc1be54a606de72c848118b1bafb60cadca0,raw/chart/interval-1m-5d.raw.json,metadata/chart/interval-1m-5d.meta.json
2,day-02,2026-08-03,15:45:00,2026-08-03T19:45:00.000Z,2026-08-03T19:47:12.136Z,2026-08-03T19:47:14.253Z,132.137,same-day-late,rounds/day-02_2026-08-03,9,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-02_2026-08-03_000009_chart_explicit-period-5d-1d,explicit-period-5d-1d,Use explicit five-day period,request selector,range replaced by period1/period2,,1d,1785354432,1785786432,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,4,1785331800,1785763800,0a6ae8ca712ada585f8d8425d421c7db49140a346ba9a530499227ac42923743,4,4,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,,1d,NMS,EQUITY,USD,America/New_York,1506,177,1,False,6fd29b23c72c8b1fc10de78cd0a94209a361b7e2453d8518735250f802f7b2be,da3d475e4fb68adb5deee36a22fdada65e11676c99b376ebbd1849f51e93a8db,e5f938c899c01aa2ca3da2840c9cd28c79e9efb93b199a6a031edb6ff61dae9d,raw/chart/explicit-period-5d-1d.raw.json,metadata/chart/explicit-period-5d-1d.meta.json
3,day-03,2026-08-04,15:45:00,2026-08-04T19:45:00.000Z,2026-08-04T19:47:13.048Z,2026-08-04T19:47:15.280Z,133.049,same-day-late,rounds/day-03_2026-08-04,1,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-03_2026-08-04_000001_chart_baseline-5d-1d,baseline-5d-1d,"Baseline: 5d range, 1d interval",baseline,none,5d,1d,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,5,1785331800,1785850200,838ed1b9770c64c349c7f70945d3b3b6dfac32d9fe496c88d82957ce60e79f28,5,5,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1d,NMS,EQUITY,USD,America/New_York,1617,182,1,False,9c606ee05651df142abec11fe76cd8e232426cc67c1c82a1bd8b12c241a18f35,54f626a3ea65be3960b87dbbff3d747a0952d5623e66175e3c410bc49c69e86e,1eec7cd9b397c5ae6be2826f42f32f5b9a60b4a9f38f75ed0ba773badb8e7d96,raw/chart/baseline-5d-1d.raw.json,metadata/chart/baseline-5d-1d.meta.json
3,day-03,2026-08-04,15:45:00,2026-08-04T19:45:00.000Z,2026-08-04T19:47:13.048Z,2026-08-04T19:47:15.280Z,133.049,same-day-late,rounds/day-03_2026-08-04,2,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-03_2026-08-04_000002_chart_events-omitted,events-omitted,Omit events parameter,events,events omitted,5d,1d,,,false,,200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,5,1785331800,1785850200,838ed1b9770c64c349c7f70945d3b3b6dfac32d9fe496c88d82957ce60e79f28,5,5,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1d,NMS,EQUITY,USD,America/New_York,1617,154,1,False,e6435e99a406a8b2913076fe2ceaebe66c57dc993efbcd7a89e0f969f2c4456c,54f626a3ea65be3960b87dbbff3d747a0952d5623e66175e3c410bc49c69e86e,a9d2f19d8a23fce21ffc73b826f5448260809374d48286a5135417e3e399cf51,raw/chart/events-omitted.raw.json,metadata/chart/events-omitted.meta.json
