security_type,symbols,primary_examples,notes
Stock,AAPL; MSFT,AAPL; MSFT,Large-cap US equities.
ETF,SPY; QQQI,SPY; QQQI,Broad ETF and newer high-income ETF example.
Closed-End Fund,NAC; PDI,NAC; PDI,Closed-end fund symbols that Yahoo may label quoteType=EQUITY.
Mutual Fund,XNACX; VTSAX,XNACX; VTSAX,End-of-day fund pricing behavior.
Futures,ZT=F; CL=F,ZT=F; CL=F,Special-character symbols require careful encoding.
Index,^GSPC; ^DJI,^GSPC; ^DJI,Caret symbols require careful handling in URLs and apps.
Cryptocurrency,BTC-USD; ETH-USD,BTC-USD; ETH-USD,24-hour market behavior.
Forex,EURUSD=X; JPY=X,EURUSD=X; JPY=X,Currency pair format includes =X.
